标注人_0,标注人_1,appid,序号,url,title,desc,0_场景,1_场景,0_行业,1_行业
zxw,myy,bc39ee8e-f462-4487-9abe-5d743c5f3f39,1217,http://www.rabbitpre.com/m/Y3Mniex,牛山一小社团共建轮滑组志愿者招募,欢迎会轮滑的同学报名,招募,招募,运动健身,学校教育
zxw,myy,9fedd0e4-d51d-444c-9966-97404989de0b,1218,http://www.rabbitpre.com/m/eUfUJRIfG,高薪招聘  ，能者居上。,陕西海琛丝源纺织品有限责任公司高薪诚聘。,招聘,招聘,家纺,家纺
zxw,myy,b7583b3b-f9e0-4e46-acc8-7e66f498809b,1219,http://www.rabbitpre.com/m/ay72V3b6y,台湾三佳第6期抛光与镀晶培训开始招生啦~！,,校园事务,产品推广,商业经验技能培训,商业经验技能培训
zxw,myy,bfc89ef3-0f0f-44a3-9622-48d7b96bf7fd,1220,http://www.rabbitpre.com/m/ybaqM2NII,百能橱柜与您共创巨富之路,百能橱柜招商加盟项目长期进行中，我们诚邀您与我们一起共创巨富之路！,招商,招商,家具,家具
zxw,myy,4138d431-2903-4078-9b27-fd45ea36c185,1221,http://www.rabbitpre.com/m/NQAmV3FRd,红馆六周年庆！ 双店同庆！双重惊喜！！,红馆六周年啦~ 感谢一路上有大家的陪伴。特此在周年之际举行购物返现，购物赠好礼的活动！欢迎大家光临！,年会/庆典,产品推广,购物中心,零售渠道
zxw,myy,e2e3f08b-8d92-4d5c-8708-789de54bc5eb,1222,http://www.rabbitpre.com/m/FbYnyiv,别让“教门”伤到教门人,,心灵鸡汤,个人其它,无行业,无行业
zxw,myy,85a47461-1eeb-47bc-a8e3-c35f7a52b7b1,1223,http://www.rabbitpre.com/m/n6ZBNjh,我是第{{count}}位查询童心余额的宝宝，你也来查查吧~,我的童心还在，你的呢~,心灵鸡汤,产品推广,无行业,工具软件
zxw,myy,ba18c2af-42ba-45dd-9f77-10feae502126,1224,http://www.rabbitpre.com/m/Bfuimml,竹溪·云窝众筹项目策划书,消费变投资，众筹赢天下！,招商,招聘,住宅,酒店
zxw,myy,44627354-2d4b-4142-98e5-2b9d5a451f6c,1225,http://www.rabbitpre.com/m/MreQjed,自由90创业谷开放招商啦,杭州自由90创业谷开放招商。创业洞天福地就在这里，最后黄金2000㎡。,招商,招商,地产中介,商业地产
zxw,myy,1587571d-d871-4d92-96b5-f815f2621920,1226,http://www.rabbitpre.com/m/7VjAbip,约串儿 —时尚小火锅,好吃  好看  好玩 累了饿了快来约串儿,产品推广,产品推广,餐饮,餐饮
zxw,myy,eee4f62c-63fb-4321-8a04-dc4d34024a9b,1227,http://www.rabbitpre.com/m/jjzrEvM2B,2016年新谭小学89届同学会照片集锦（完整版）,27年相聚（2016年09月10-11日）,朋友聚会,校友会,无行业,无行业
zxw,myy,59702e40-3768-4836-8912-94fa7b7074be,1228,http://www.rabbitpre.com/m/u2MvE3R,农技课堂,,产品推广,产品推广,商业经验技能培训,商业经验技能培训
zxw,myy,f783d9a4-a5d9-4cbd-a996-a37e57b0f196,1229,http://www.rabbitpre.com/m/faq6IZvUz,超级聚划算鼎一联盟大牌钜献,超级聚划算鼎一联盟大牌钜献，快来抢购吧！！,产品推广,产品推广,电商,家装建材
zxw,myy,5548b485-a944-410d-b986-b1bc02a067e4,1230,http://www.rabbitpre.com/m/UvAbMfg,国家级继续教育项目：呼吸相关伤口护理会议通知,主题：开拓 创新 专业 发展 时间：2016年8月12日-14日 地点：内蒙古医科大学附属医院,事务性通知/科普,讲座,特长或素质培训,医疗
zxw,myy,fb6df178-1de6-46d3-89d4-48db804906b3,1231,http://www.rabbitpre.com/m/IB2N2rURw,高端品鉴会,行业新品邀您品鉴,行业展会,行业展会,家装建材,家装建材;家具
zxw,myy,5b09b812-c48c-47db-abc1-6b708b2ece42,1232,http://www.rabbitpre.com/m/AmVv6IvqJ,武清喆·啡酒店开业,武清喆·啡酒店即将开业，诚邀各位参加开业盛典。,开业,开业,酒店,餐饮
zxw,myy,4cb5c719-4182-4aa8-8807-af23dccf22e4,1233,http://www.rabbitpre.com/m/RAmVfqER0,康师傅饮品促销系列, ,产品推广,封禁,餐饮,无行业
zxw,myy,28b2f988-9881-49a4-a343-e93ef5b6eacc,1234,http://www.rabbitpre.com/m/UfMYfyzrT,最in的健身空间,北京福兴体育文化公司是一家集高端健身房、阳光游泳馆、婴幼儿游泳培训基地、康体汗蒸......,产品推广,产品推广,运动健身,运动健身
zxw,myy,57a48691-7f3f-45c3-a5bb-6db30df168b8,1235,http://www.rabbitpre.com/m/E3VRIJR2j,独属于你的洛夫特！在这里……,单身的苦逼，刚结婚的南京漂，你的福音在这里。猛戳吧！！！骚年！,产品推广,产品推广,住宅,住宅
zxw,myy,79f9b24d-e11d-47bc-8f95-5fc3dcd6597b,1236,http://www.rabbitpre.com/m/JJrYvaG,海鼎公司招募小伙伴啦！,如果您对未来充满梦想，对成功充满渴望，那么请让我们携手同行，真诚合作，实现梦想，共创未来！,招聘,招聘,工具软件,零售渠道
zxw,myy,97920ec6-7228-4f4c-8d6d-7cadda1d644a,1237,http://www.rabbitpre.com/m/FnzV3jFBR,“漫话琼山”系列之一：”琼山区“四个战略定位”,,产品推广,政府事务,政府综合服务,政府综合服务
zxw,myy,e267b774-2623-419d-a4cd-8b28f2b5dd74,1238,http://www.rabbitpre.com/m/R2zFRYnVc,第二届店铺营销高峰论坛,打破行业瓶颈  实现转型蜕变,行业论坛,行业论坛,保健品/OTC；非生活消费品；医药用品,广告
zxw,myy,88b5d585-a68e-4aa9-97ec-a2a74da6d2a4,1239,http://www.rabbitpre.com/m/RVrE3u5,爱Ta就送给Ta,得尔乐          有爱.有家.有欢乐,产品推广,产品推广,粮油副食,粮油副食
zxw,myy,f5c2e5df-1c9a-4df9-a7b7-c053b95ddb4e,1240,http://www.rabbitpre.com/m/vq6AYf6Ae,华美新天地国际影城开业在即，诚聘小伙伴入伙一起嗨,耀世巨献新天地，景声无敌大影城。 华美新天地国际影城热诚招贤纳士！ ,招聘,招聘,影视,电影院
zxw,myy,fffd150a-2014-4c6e-a810-2ec802063424,1241,http://www.rabbitpre.com/m/QV7fMbq,"【邀请函】陕西有""一点""不同",暨一点资讯区域市场战略发布会,产品推广,公司会议,内容平台,内容平台
zxw,myy,5f2e71ed-928b-42b1-a51d-3d52b40ab60b,1242,http://www.rabbitpre.com/m/37YnV3z7y,芒市晨光幼儿园第十六届“玩转童年”艺术节活动,芒市晨光幼儿园第十六届“玩转童年”艺术节活动,演出,演出,学校教育,学校教育
zxw,myy,56a39820-dde6-44ba-88dc-a9ac4310d328,1243,http://www.rabbitpre.com/m/uAFVvaK,米禧婚礼创意策划,一家专注于创意时尚婚礼策划的公司,产品推广,产品推广,婚庆,婚庆
zxw,myy,78079ae8-c06c-41e9-85cb-a2e2a62c1207,1244,http://www.rabbitpre.com/m/zVBmrMQuI,海洪小学第12届校园文化节邀请函,亲子同行，舞动欢乐。海洪小学庆六一邀您一起来嗨皮！,演出,演出,学校教育,学校教育
zxw,myy,a4716aee-83b1-411c-b0e2-32f35ef0dae0,1245,http://www.rabbitpre.com/m/7f22Avs,有”本事“，你就来！天大环保新材料股份有限公司招贤纳才啦！,你有能力，我有空间！赶紧点开来看看吧！,招聘,招聘,材料,材料
zxw,myy,6ebba601-cee9-4d9e-93d3-7bd7a034b9d5,1246,http://www.rabbitpre.com/m/JRe6AAQQx,翼支付加油9折,翼支付加油低至9折，优惠不封顶！,产品推广,产品推广,工具软件,工具软件
zxw,myy,e19aef7e-9c6e-4d7a-a56d-22c7acb62e5c,1247,http://www.rabbitpre.com/m/ruIVVrN,2016中国办公设备行业年会佳能邀请函,,年会/庆典,年会/庆典,摄影,照相机
zxw,myy,b3f23e37-c9aa-40a8-bf01-fe6a146f516e,1248,http://www.rabbitpre.com/m/qUv6YBAmX,美车美加老板又疯了，免费送坐垫！,三周年钜惠全城！点赞送坐垫！,产品推广,产品推广,汽车服务,汽车服务
zxw,myy,04fa3481-0c9c-4d1b-a6e1-e98402a1d794,1249,http://www.rabbitpre.com/m/Jfq6mzNek,第二届黄河胃癌高峰论坛邀请函   ,诚邀您参加7月30日在兰州召开的2016年甘肃省消化内科专业医疗质量控制会议！,行业论坛,行业论坛,医疗,医疗
zxw,myy,223e3125-43b6-423b-9600-c81a7cfa36ea,1250,http://www.rabbitpre.com/m/IvEzaa2,腾冲汇智科技新年大酬宾,腾冲汇智科技！新年大酬宾，进店有好礼。,产品推广,产品推广,其它3C产品,电脑
zxw,myy,0582d062-cac2-4c96-8c72-20c60dcf62cd,1251,http://www.rabbitpre.com/m/YzeAfyN,享·城市质感丨6月2日 相约北京聆听梁景华的梦时代,我有强大的名师阵容、丰厚的奖金、还有意大利游学之旅，你准备好设计了吗？,文化竞赛,艺术竞赛,商业地产,设计
zxw,myy,4269d378-fbf5-49ab-8817-3cca3b054b85,1252,http://www.rabbitpre.com/m/reMVF3x,《嚣夜》免费送汽车夜光停车牌啦！一人只要49元，随你吃到饱！,集满18个赞，快来帮我赞一下！喜力啤酒更是买六送一哦！,产品推广,产品推广,酒,餐饮
zxw,myy,068bea90-6e54-477f-96c7-be9be6d18358,1253,http://www.rabbitpre.com/m/njzNuMInX, 纪念顾伯华先生百年诞辰系列活动,纪念顾伯华先生百年诞辰系列活动,演出,行业论坛,医疗,医疗
zxw,myy,95ec4160-ce8f-4228-be18-39fc273ba152,1254,http://www.rabbitpre.com/m/qyFZfyVv0,第七届同德国际学术周暨第二届中日胃癌钱江论坛,论坛时间：2016年11月4-5日 论坛地点;杭州之江饭店,行业论坛,行业论坛,医疗,医疗
zxw,myy,fdd11ca9-022b-433e-92f2-3bfca44111b2,1255,http://www.rabbitpre.com/m/AzyuAr,AMBIO【科莫】系列,,产品推广,产品推广,家装建材,家装建材
zxw,myy,1a77ddba-321d-41b4-97b8-d38a815a9d30,1256,http://www.rabbitpre.com/m/V77FF3F,安徽佰瑞多公司的代工产品介绍,安徽佰瑞多公司的代工产品介绍！,产品推广,产品推广,餐饮,休闲食品
zxw,myy,38203a86-467e-4ac4-9745-b82eaa8d08d5,1257,http://www.rabbitpre.com/m/YjUJjuK,象印水杯轻松免费带回家,连续转发此条H5到朋友圈5天，并累计获得99个赞，即可获得象印保温杯一个,产品推广,产品推广,应试及考证培训,特长或素质培训
zxw,myy,2b43365e-403e-4e1d-bed2-f95d8b7e122b,1258,http://www.rabbitpre.com/m/3aMNF3H,2016贵阳数博会邀请函,2016贵阳数博会邀请函,行业展会,行业展会,数据计算服务,数据计算服务
zxw,myy,51a3f75e-920a-4c04-82d2-d61117b5bce7,1259,http://www.rabbitpre.com/m/eeaumyo,财通证券招聘,公司固定收益部公开招聘全职岗位，我们诚挚欢迎各位优秀人才加入！,招聘,招聘,其它金融服务（待分）,证券
zxw,myy,11f0c177-6cbf-49fd-8342-9a63d0c77ad9,1260,http://www.rabbitpre.com/m/3rMmNeEJQ,为真NGS新技术发布会,剑出为真，液有巅峰,行业论坛,产品推广,医疗,非生活消费品
zxw,myy,974cc595-e44d-418c-9301-da2761778af2,1261,http://www.rabbitpre.com/m/ni6Rf2r,圣诞祝福您,时间：2015年12月19日（周六晚19:00-21:00） 地点：晋江市万达广场3号门椭圆中庭 主,演出,演出,购物中心,无行业
zxw,myy,ffa68b88-cd92-4e3e-89e4-c24f8cfc7925,1262,http://www.rabbitpre.com/m/VJnqaqF,五星电器宿州店招人啦！！！！,世有伯乐，然后有千里马；千里马常有，而伯乐不常有。,招聘,招聘,家电,家电
zxw,myy,9f19c708-ba2d-46a8-9813-cf487d21df4d,1263,http://www.rabbitpre.com/m/Uf6uyFBId,瑶瑶冰淇淋新品已登场！！,新品已登场，你准备好了吗？？？,产品推广,产品推广,餐饮,休闲食品
zxw,myy,db57e736-724d-4df2-851d-f8cd711f8deb,1264,http://www.rabbitpre.com/m/yqym2iX,万和证券深圳福田中心区营业部,用言语点亮希望，用行动付诸力量。,产品推广,产品推广,其它金融服务（待分）,证券
zxw,myy,5eb57a6a-79ba-4249-bbe9-b175fdda03e3,1265,http://www.rabbitpre.com/m/ijzFvEvUt,贺：茅台葡萄酒新品上市,茅台红，昌国韵，欢喜中国梦,产品推广,产品推广,酒,酒
zxw,myy,6a5a6935-6a23-4a79-a075-d4e7a864accf,1266,http://www.rabbitpre.com/m/ZZ3NYZv6v,致敬心灵的港湾，父亲节快乐！,每个父亲，都有一颗疼惜家人的狮子心。父亲节，放下工作，陪伴才是最长情的告白！,心灵鸡汤,节日祝福,,游戏
zxw,myy,63ebf397-523a-47c3-902c-7a05d0719ac6,1267,http://www.rabbitpre.com/m/eErENfV,一年一次 疯抢10天,河姆渡周年庆疯抢10天，行业盛宴不容错过。（活动时间：11月2日-11月11日）,产品推广,产品推广,手机,电商
zxw,myy,23e122a8-6eea-46e9-8422-e08393cba9a9,1268,http://www.rabbitpre.com/m/RIvybyVB8,敬业葆仁心 急救谱赞歌,,心灵鸡汤,团队展示/团建,无行业,医疗
zxw,myy,e2a59006-36a4-408c-9f73-6f44be547892,1269,http://www.rabbitpre.com/m/rMVNJjh,明远教育”迎新年职工趣味运动会“,为了进一步活跃明远教育教职工的文化生活，展示明远教育广大职工团结和谐、充满活力的精神面貌，弘扬体育精神，增进友谊一，明远教育集团定于12月20日在电大东门广场举办明远教育“迎新年职工趣味运动会“。,体育竞赛,团队展示/团建,学校教育,应试及考证培训
zxw,myy,325e904a-df38-4596-8ec0-cec0adf829b2,1270,http://www.rabbitpre.com/m/IvaaEnE,这是月饼界的一起“黑案”！,一群设计界的黑客，做了一款火爆的黑月，创造了2016中秋最大的“黑案”！,产品推广,产品推广,休闲食品,休闲食品
zxw,myy,7a3e0a44-67ac-41dc-8cf5-a0bfb8298295,1271,http://www.rabbitpre.com/m/iEnENbb,达维公司8月份卡客车轮胎促销价格,达维公司8月份卡客车轮胎促销价格；包含品牌：普利司通、风驰通、傲龙、德轮、浪马、金固钢圈,产品推广,产品推广,非生活消费品,非生活消费品
zxw,myy,5bfa8b72-7892-4097-bd58-e06bbf376049,1272,http://www.rabbitpre.com/m/myQvUbx,ivvi · 山西 · 诚邀你的加入！,ivvi · 山西 · 诚邀你的加入！,招聘,产品推广,手机,手机
zxw,myy,697630b2-8c4c-415b-acf0-e0407ac7a2ff,1273,http://www.rabbitpre.com/m/3Fnzrqy7c,点拨“听单词”,单词到底Get多少？扫码听听你秒懂！,产品推广,产品推广,工具软件,应试及考证培训
zxw,myy,e546c23a-12f3-46d9-9fba-586414aa1ddb,1274,http://www.rabbitpre.com/m/Qna2Mz4,好消息！TCL内购会精彩继续！,活动火爆，应消费者要求，TCL内购会将延长一周,产品推广,产品推广,购物中心,家电
zxw,myy,3ec0deb5-19ac-4d39-98ee-88868761fea0,1275,http://www.rabbitpre.com/m/IfEBuizFm,洪峰未过境，人保在行动,灾害中您的孤独和期盼 有人保财险的陪伴和关怀 ,产品推广,产品推广,保险,保险
zxw,myy,7d7f75ee-fd69-4513-af10-0f03aba76145,1276,http://www.rabbitpre.com/m/36fQzij,【付费】帮帮团社群招募！,有江湖，就不孤独！,招募,产品推广,内容平台,内容平台
zxw,myy,ff0e9dab-1a72-4039-ba99-03b70d15bef8,1277,http://www.rabbitpre.com/m/6mzzzzbi7,必杀技1--教你玩转Excel,Excel大神来了---办公软件就这么简单！,讲座,产品推广,工具软件,商业经验技能培训
zxw,myy,3c20968a-17a7-4e94-ac76-c7ad28890fa1,1278,http://www.rabbitpre.com/m/UJfMeqMIB,您是第{{count}}位参加此次点击的用户,  {我们的梦，中国的梦}           Our dream，Chinese dream  ,文化竞赛,艺术竞赛,媒体,影视
zxw,myy,5c9cf57a-5923-4ff0-8fcb-2ddfd8dbd546,1279,http://www.rabbitpre.com/m/zNIJ3F3N0,北川美人树网咖盛大开业,北川美人树网咖盛大开业 酷炫到爆 快乐无限 免费体验开启中~美人树已接待{{count}}位顾客,开业,开业,网吧；其它休闲娱乐场所,网吧
zxw,myy,3511843d-fc2c-47f9-8545-fc0ae29aece7,1280,http://www.rabbitpre.com/m/fuuUvi4,会员日|会员尊享，“惠”当家,,产品推广,产品推广,医药用品,医药用品
zxw,myy,11eff33c-79cf-45c0-ae03-ae009836add1,1281,http://www.rabbitpre.com/m/EfMQYZfE1,2016吴忠邮政“金猴纳福” 金融狂欢节,一万元一年收益：350元 一万元两年收益：790元,产品推广,产品推广,邮政,理财
zxw,myy,0caf3e6b-b5cc-466a-a144-26b28e7bee3c,1282,http://www.rabbitpre.com/m/6YfUvE374,「和秀姑苏」邀请函,2016.10.30苏州图迈国际家居开业大典-苏州图迈家居,开业,产品推广,家居软饰,家具
zxw,myy,ad2765f5-89a6-4e0c-a1e0-f20a3a2ae6ff,1283,http://www.rabbitpre.com/m/jeeaqmT,我想有个家,柯演装饰 定制你的幸福家,产品推广,产品推广,家居软饰,家装建材
zxw,myy,8089296e-cdc0-4a9d-a531-019655f5c893,1284,http://www.rabbitpre.com/m/neANru3,10月23日陆风汽车-超级购车团,厂家直销，现场抽奖豪礼大放送，全系车型价格有保证，还不出手？,产品推广,产品推广,汽车,汽车服务
zxw,myy,c2b64071-3997-4d8e-9321-b86b990a6bea,1285,http://www.rabbitpre.com/m/6vU36rN,康佰嘉微信公开课pro版,,讲座,产品推广,运动健身,运动健身
zxw,myy,515b54e6-e652-438b-9913-39e8de46dc92,1286,http://www.rabbitpre.com/m/2Nea62zFE,2016猴年许愿有礼,2016猴年许愿有礼 您敢许愿，即可抽奖！,产品推广,团队展示/团建,餐饮,餐饮
zxw,myy,3ec290d4-cc84-4a2c-bea5-4e9f7195f5a2,1287,http://www.rabbitpre.com/m/MBZzAfi,新融合创新论坛暨深圳家协会员大会邀请函,新形势下的家居产业新融合创新论坛暨2015年深圳家具协会会员大会，诚邀您的参与！,行业论坛,行业论坛,家具,家具
zxw,myy,5e07f98b-d7b1-4f51-9725-f79eccdc33e8,1288,http://www.rabbitpre.com/m/bqij7uUZq,"520,送给你的不二情书",,心灵鸡汤,节日祝福,无行业,咨询
zxw,myy,6c49043d-5c0e-4544-a70d-07fc181def33,1289,http://www.rabbitpre.com/m/YVNruye,津乐园星级店面招聘啦！！！,男神女神快到碗里来~~~,招聘,招聘,休闲食品,餐饮
zxw,myy,d944005f-9390-471d-956b-111d854bcdb0,1290,http://www.rabbitpre.com/m/jzVRAAmrR,舒安灵来啦！！！,舒安灵来啦！,产品推广,产品推广,医药用品,医药用品
zxw,myy,4b5b8ea0-c97f-4532-b0ac-76b4bafead3d,1291,http://www.rabbitpre.com/m/77RFjif,周末好，这是送给你的！请收下！,,心灵鸡汤,心灵鸡汤,无行业,无行业
zxw,myy,db50fa5f-cfb1-4a81-830b-0080eee86e58,1292,http://www.rabbitpre.com/m/MAey7Y3rA,奥斯芬纯欧系贵族SPA•明星饭局,奥斯芬纯欧系贵族SPA•明星饭局,产品推广,产品推广,其它休闲娱乐场所,美妆
zxw,myy,4fd83b25-da9d-40e1-a02c-887345d6dfdc,1293,http://www.rabbitpre.com/m/MQeqaqU3g,荷仕兰5款新品为爱启程,2016年，荷仕兰以全品项战略深耕亚洲市场，以高品质奶粉提升家庭幸福指数！,产品推广,产品推广,奶制品,奶制品
zxw,myy,96591c18-7eae-4908-9d80-072f391accd6,1294,http://www.rabbitpre.com/m/b6QAAQu6H,10月相约UBUN国际生活馆,LEMA全球最大旗舰店登陆中国深圳， porada首次落户深圳,产品推广,产品推广,家具,家具
zxw,myy,112992e0-7475-4df1-9867-72020ea2001c,1295,http://www.rabbitpre.com/m/Jnu2amM,这家大牌眼镜沙龙既特别又有腔调，老板还送大礼！,杭州迈境奢侈品眼镜沙龙,产品推广,产品推广,眼镜,眼镜
zxw,myy,e93f2b8a-51f7-4ace-86e4-c1f504045e6c,1296,http://www.rabbitpre.com/m/UNjMBvT,4月10日大盛归来，建材家居家电工厂团购惠与您相约国宴伊品,海石湾准备装房子的业主福利来了，家居品牌一站购，价格工厂直供，买贵差价十倍返还，您不可错过的家装盛宴,产品推广,产品推广,家居软饰,家具;家电;家居软饰
zxw,myy,20339f7e-fc3b-49a5-8163-c018f4c934d5,1297,http://www.rabbitpre.com/m/yMjEvmg,属于你的购物攻略2-西南,,产品推广,产品推广,零售渠道,零售渠道
zxw,myy,e61a672d-a76b-4088-aba6-ca00ddc8bce9,1298,http://www.rabbitpre.com/m/7RNFbuh,惠阳惠民联盟家居建材大革命4,时间：3月19日中午12：30开始。 地点：惠阳体育会展中心,产品推广,产品推广,家装建材,家装建材
zxw,myy,31db5b24-eabf-43d4-856e-fbafb5ecaed0,1299,http://www.rabbitpre.com/m/AzYNRju,湖南联通物联网峰会邀请函,衷心感谢您多年来对湖南联通的关心支持和帮助。我们诚挚地邀请您出席2016年湖南物联网峰会。,行业论坛,行业论坛,通信,实业平台
zxw,myy,793cfa03-8d31-46d2-8ca9-3896fad5698d,1300,http://www.rabbitpre.com/m/U3iauqe,老妈厨房,,开业,产品推广,餐饮,餐饮
zxw,tml,c6f9e889-5460-46a5-bfab-8e7c4847be28,1801,http://www.rabbitpre.com/m/y67BNrZ,广西菱通竞业电子有限公司,香港新兴盛--广西容县经济开发区菱通竞业电子有限公司--招聘启事！,招聘,招聘,材料,3C产品
zxw,tml,4ea40aa2-b138-47f6-aec9-2bf2f367bcda,1802,http://www.rabbitpre.com/m/uAFNRfw,【iShow】广州大学城万圣节,三大主题，精彩不容错过！,演出,校园事务,学校教育,学校教育
zxw,tml,e73ffd9c-f8e3-4dac-9311-ca771505a271,1803,http://www.rabbitpre.com/m/a6IfMu6A2,深圳坪山最造假、最忽悠的一家手机店,揭开7宗假像，看清深圳坪山这家手机店！,事务性通知/科普,心灵鸡汤,无行业,无行业
zxw,tml,8ce7def7-ed95-4ea8-9e88-a937461975ef,1804,http://www.rabbitpre.com/m/rMYRQYBAW,不一样的朝鲜，不一样的世界,3月15日、22日、29日发班，2人即可出行~,产品推广,产品推广,旅游,旅游
zxw,tml,aca50a8e-915c-46f5-b95c-b375188cc424,1805,http://www.rabbitpre.com/m/maE3qy4,2016年5月ASP研讨会--丽水站,专业打造，应用快捷。,讲座,行业论坛,工具软件,商业经验技能培训
zxw,tml,c6873c00-aa9f-42ca-9129-a16d4a1cd59a,1806,http://www.rabbitpre.com/m/7jQZBjX,腾冲和顺小鸟－天下和顺－流畅摄于和顺,,心灵鸡汤,产品推广,,旅游
zxw,tml,bc1b97cb-3470-4b19-88c1-698dd385a164,1807,http://www.rabbitpre.com/m/aiVBeMmj6,今天不等你了，年底再约,长达145天的快乐，让我难舍！！！,产品推广,个人其它,度假,无行业
zxw,tml,3443cb72-8b29-4ac6-ab1f-ec98214b7e58,1808,http://www.rabbitpre.com/m/YnjbqU37M,兴业银行“快速消费贷”,申请“快速消费贷”奋力起跑！让你的人生“快”人一步！,产品推广,产品推广,其它休闲娱乐场所,银行
zxw,tml,a76c9121-830a-4f10-ab18-b3749f1ad36b,1809,http://www.rabbitpre.com/m/ZNNnu2V,此物可做菜，又是防癌神器！你还不知道吧！！,阅读100000+，别私藏，请传发出去，让更多人知道！！,产品推广,心灵鸡汤,银行,无行业
zxw,tml,50ab9828-01b5-4633-a652-efd7cb5bb90f,1810,http://www.rabbitpre.com/m/ibqijb6Ad,2016年佳宝幼儿园“文艺晚会”邀请函,2016年佳宝幼儿园庆六一“花季有爱•绽放未来”文艺汇演 ,心灵鸡汤,校园事务,无行业,学校教育
zxw,tml,72a6f5f5-b360-412b-8fb7-668e0d7a452a,1811,http://www.rabbitpre.com/m/NmjbMAmNA,在這難忘的時刻,在這難忘的時刻，心中有一支歌，带着牵挂，带着祝福，带着乡音，带着乡情。,演出,心灵鸡汤,学校教育,无行业
