标注人_0,标注人_1,appid,序号,url,title,desc,0_场景,1_场景,0_行业,1_行业,,,,,,
ljh,myy,da322c1d-e0a7-4eb3-8ff7-0acc59588e99,877,www.rabbitpre.com/m/mYbMRjm,运一平安志愿者半月刊07期,北京地铁运一支队祝您出行愉快,团队展示/团建,公益,交通,无行业,,,,,,
ljh,myy,4cac2fbb-fd04-4e27-90e1-3529afbeb496,879,www.rabbitpre.com/m/yNIRIJB24,敢爱前行 聚滇峰,2016年第四季度经销商销售市场工作会议 活动花絮,公司会议,公司会议,汽车,汽车服务,,,,,,
ljh,myy,95574a47-ff5c-46dd-a461-dedc2ea37a0d,880,www.rabbitpre.com/m/EvqMRb2,我的爸爸 我的超人,隆鑫电动车祝福天下父亲，节日快乐！,产品推广,节日祝福,非机动车,非机动车,,,,,,
ljh,myy,aa8eea62-db9c-4700-988e-eb2c6d440bd9,883,www.rabbitpre.com/m/37YRIBY37,世界名校招生会－逛展指南,,校园事务,产品推广,学校教育,应试及考证培训,,,,,,
ljh,myy,abdfb8a4-f68d-4746-9d0f-7180b9a1284e,884,www.rabbitpre.com/m/yeaum2B,世茂金铺 免费用3年,,招商,产品推广,商业地产,商业地产,,,,,,
ljh,myy,37b09cbd-e137-4efe-8ac2-91f9aed03f18,885,www.rabbitpre.com/m/QN7vqyd,唐山市朗硕商贸有限公司招聘信息,专业模板打造，只为方便大家。,招聘,招聘,贸易批发,物流,贸易批发,,,,,
ljh,myy,56d0637e-e261-4430-9d97-0550510a3da6,888,www.rabbitpre.com/m/MYJnF3zFI,想赚钱，考虑过这事儿？,外汇投资的趋势火热得不要不要的啦..是时候把握住机会啦朋友！学以致用，免后悔！,招聘,产品推广,产品推广,理财,理财,,,,,
ljh,myy,13ac67bd-2610-4228-b318-afe2478086b8,895,www.rabbitpre.com/m/rizzVnbMO,2016黑龙江?内蒙第三届 日化、洗护、微电商博览会,2016黑龙江?内蒙第三届 日化、洗护、微电商博览会,行业展会,行业展会,个人护理,家庭日用,个人护理,,,,,
ljh,myy,9a72a65c-38f9-4e78-8314-e9ea1c1eb597,896,www.rabbitpre.com/m/7NZNfqc,警企共建·情暖新春,滨州市公安局沾化分局·华能沾化热电有限公司新春联欢晚会,演出,年会/庆典,政府综合服务,政府综合服务,,,,,,
ljh,myy,5ae1e181-32a2-4e30-8601-1df28f3f35bc,897,www.rabbitpre.com/m/mFvaMI3Nk,凝聚创新力量，插上禹王腾飞的翅膀,禹王集团2015年度创新成果颁奖典礼风采集锦,团队展示/团建,公司会议,化工,医药用品,材料,化工,,,,
ljh,myy,fdb3c0eb-07f8-4652-a750-d4beda8974c9,899,www.rabbitpre.com/m/iErU7rz,顺丰小哥带你狂欢糖球会,2月16日（正月初九）， “岛城新春第一节”——青岛萝卜·元宵·糖球会隆重启幕 ,年会/庆典,产品推广,物流,粮油副食,酒,零售渠道,,,,
ljh,myy,81c2c4f9-5c86-4ba0-a65d-a6102c9835d3,900,www.rabbitpre.com/m/FbUJRzh,北京市供销学校，北京市经贸高级技术学校,     北京市供销学校 北京市经贸高级技术学校 ,校园事务,产品推广,学校教育,学校教育,,,,,,
ljh,tml,5c670ad9-a34f-475b-83f8-a1249cf8e37d,1403,www.rabbitpre.com/m/zQreayV,精品列车 优质出行,,产品推广,政府事务,交通,政府综合服务,,,,,,
ljh,tml,ff39d13a-1674-413b-8c8a-de354e7ca88e,1404,www.rabbitpre.com/m/6Y3NIRmFN,健儿屋“时尚亲子秀”开始报名啦！啦啦啦!,本次“时尚亲子秀”由健儿屋&美力艾佳联合举办。三周岁以下宝宝即可参加，可在连锁门店或微信报名。,产品推广,艺术竞赛,母婴用品,特长或素质培训,,,,,,
ljh,tml,2e22a085-3283-4886-8a82-0b2fa746b19a,1405,www.rabbitpre.com/m/aQFvAz7,2016年年会冯董重要讲话（文化篇）,,公司会议,事务性通知/科普,工具软件,其它社会服务,,,,,,
ljh,tml,5b3205d3-78f6-4f36-94fb-a6bae27049d5,1407,www.rabbitpre.com/m/vmAZnei,警惕买房陷阱！！！,当代滨江MOMA，你是开发商还是黑社会！,个人其它,心灵鸡汤,无行业,无行业,,,,,,
ljh,tml,9cc384ad-8e8f-4891-8743-40f9ff742d64,1410,www.rabbitpre.com/m/B2baqE3zI,西固华帝盛大开业8.28等你来、、、、、、,西固华帝开业钜惠  厂价同庆,开业,产品推广,开业,家电,购物中心,,,,,
ljh,tml,b3cb6971-28f6-4bbb-9c21-fb5f08b32c96,1411,www.rabbitpre.com/m/jNe6mNIJi,最最最诚挚的新年祝福送给您！,金猴报春·灵猴献瑞·马上封侯·猴年吉祥,节日祝福,心灵鸡汤,无行业,无行业,,,,,,
ljh,tml,676fda37-aeaf-44ba-8fd1-6cf49b9019f3,1414,www.rabbitpre.com/m/2EVzmio,大龙学校学生美术书法作品展邀请函,主办单位：肇庆学院美术学院 端州区教育局 肇庆市端州区大龙学校 承办单位：端州区文化馆,博物/艺术展,行业展会,学校教育,艺术品古董,,,,,,
ljh,tml,da0653ca-c0b9-4a2b-ac9f-ca0394c09581,1415,www.rabbitpre.com/m/E7Z7byl,黑格伯爵产品发布会邀请函,黑格伯爵产品发布会将于2016-03-05下午14:30-17:00隆重举行，诚挚邀请您莅临参加！,产品推广,产品推广,应试及考证培训,学校教育,,,,,,
ljh,tml,11574dc8-e910-459e-948c-d4773e32d690,1416,www.rabbitpre.com/m/fERAAQ2rG,喜临门财富峰会, 未来，已来,公司会议,行业论坛,家纺,理财,,,,,,
ljh,tml,45430d9f-ed66-4371-8dc9-64987ea44ec0,1420,www.rabbitpre.com/m/ua2yY3I,诸城最后一片仙山净土……,贡翠香茗带你走进原生态风景区，寻找真正的无公害食材。,产品推广,产品推广,旅游,生鲜水果,,,,,,
ljh,tml,d3af5be7-cff0-462c-9698-e59a8e5c45ae,1421,www.rabbitpre.com/m/IFJNBnt,荐人！站住！,出卖基友得500万，你真的不干？,招聘,招聘,互联网金融,金融财会,,,,,,
ljh,tml,5f3001c4-5757-43c0-92c2-0e7adb72f5ab,1423,www.rabbitpre.com/m/AmjFvirEM,武汉市急救中心光华路站落户市六医院,辐射周边等多个社区，快速打通生命通道，着力应对市民突发、紧急状况。,产品推广,事务性通知/科普,医疗,医疗,,,,,,
ljh,tml,718f3033-0a80-4388-aad0-60ea1a3430e6,1424,www.rabbitpre.com/m/BRNRvmp,广州10月8日（周六）《ageLOC me商机交流会》,全球第一台私人定制智能护肤机器人颠覆人类的护肤习惯，无限商机属于先知先觉的你！,产品推广,行业展会,其它3C产品,其它3C产品,,,,,,
ljh,tml,672c1647-eca4-4276-b2e1-e9624a6975fa,1425,www.rabbitpre.com/m/7uqEJBAAJ,艺心美术万圣狂欢夜,万圣节party邀你来狂欢,朋友聚会,俱乐部活动,无行业,艺术品古董,,,,,,
ljh,tml,1e79b01c-450a-43dc-a00a-a2406ba1624b,1427,www.rabbitpre.com/m/UveyimI,我是第{{count}}位参加此次点击的用户,解码八月，军迷集结,产品推广,俱乐部活动,服装相关,其它社会服务,,,,,,
ljh,tml,73713172-70bd-4942-a37b-7fe0528093b3,1428,www.rabbitpre.com/m/B27eEnVBx,全能生活城,太原恒大城,产品推广,产品推广,住宅,商业地产,住宅,,,,,
ljh,tml,d9d65b11-c895-461f-8620-6cc9bf4e9c23,1431,www.rabbitpre.com/m/7uiVRIJJN,不一样的端午节,回家陪着爸妈才是这个节日真正的意义。,产品推广,节日祝福,酒,无行业,,,,,,
ljh,tml,34f61765-07a5-46b2-a786-40b762bf53e7,1432,www.rabbitpre.com/m/fEBYfURIr,腾讯2016年毕业生封培日记,腾讯2016年毕业生第四批封培日记,团队展示/团建,校园事务,软件互联网,学校教育,,,,,,
ljh,tml,d0febf81-6954-4da2-8052-42aa03628d72,1433,www.rabbitpre.com/m/YZJvUb5,中国联通泸州市分公司,“互联网+”战略合作协议签约仪式,产品推广,公司会议,通信,通信,,,,,,
ljh,tml,a4a11338-51d8-4d33-82c8-46170a6b737f,1434,www.rabbitpre.com/m/birqMeqaT,2016加入停云优秀团队的最佳机会！,2016加入停云团队的最佳机会。,招聘,招聘,服装,自媒体,,,,,,
ljh,tml,fb971789-1b17-49c1-a8e3-5bb77ff3b760,1436,www.rabbitpre.com/m/vY3Urat,指上美食东站店开业,开业大吉，全场8折。,开业,产品推广,开业,餐饮,餐饮,,,,,
ljh,tml,f5a72508-c2e1-423e-9ccf-b62ca1e9c458,1437,www.rabbitpre.com/m/fqir6mNQb,不将就—源自武陵,未被人知的三大花田之一的“何家岩梯田”，就在这里。,产品推广,产品推广,粮油副食,政府综合服务,,,,,,
ljh,tml,6947755d-9909-4a9c-a4cc-0ffa2ec07ec5,1439,www.rabbitpre.com/m/jUZjI3E,浦源招聘,在整个经济增长放缓的情况下，浦源仍然保持2位数的增长，后劲实足，发展中的企业，需要更多优秀的人才。,招聘,招聘,粮油副食,休闲食品,,,,,,
ljh,tml,b0a2b2db-4f0a-4a36-b8bd-bbb6d75cade4,1440,www.rabbitpre.com/m/ZzeYbmB,钱袋宝伯乐奖，因您精彩！,一卷风云琅琊榜，囊尽内外奇英才！,招聘,招聘,工具软件,互联网金融,,,,,,
ljh,tml,c8c67bd1-cbd7-44f2-a5e2-591dd9b869ff,1441,www.rabbitpre.com/m/ARnQVf6,预见未来—机器人亲子体验展！高逼格！超科普！,全国巡展龙岩万宝广场站！9.15正式开展！与/高逼格.智能/机器人亲密接触！,产品推广,行业展会,其它3C产品,其它3C产品,,,,,,
ljh,tml,8eb35583-8e6c-4507-9383-22d8478a0895,1442,www.rabbitpre.com/m/Ab2Efu9,蒙扎中国商城品鉴交流会,蒙扎中国商城品鉴交流会，诚挚地邀请您拨冗莅临！5月28日下午14:00，我们不见不散！,招商,行业展会,商业地产,贸易批发,,,,,,
ljh,tml,caf234dd-9e05-43aa-8eee-10e1b8e7a6a9,1445,www.rabbitpre.com/m/bEnaU3J,杨易营销策划招聘,杨易营销策划机构，期待优秀的你加入！,招聘,招聘,广告,自媒体,,,,,,
ljh,tml,6907472a-b56f-4d8b-ba91-dfb333008e2a,1448,www.rabbitpre.com/m/AB3uaev,尚湖金牌石材背景10月5日开业啦！,尚湖金牌石材背景10月5日开业啦！,产品推广,开业,家装建材,非生活消费品,,,,,,
ljh,tml,052159b8-6738-414b-aed1-de22c9ef44f5,1449,www.rabbitpre.com/m/ZnYfAvE,涡阳出大事啦！,4月8日—4月10日九天家私“踏青季破冰价”疯狂来袭！,产品推广,产品推广,家具,旅游,,,,,,
ljh,tml,7d73caae-3280-4e70-8259-e448c8548bf5,1450,www.rabbitpre.com/m/77Zveen,三潜社开业大趴请你来high！,不是一路人，不潜一片海。 三潜社是你可靠的Buddy! 10月2日不可能错过你！,开业,产品推广,开业,运动健身,特长或素质培训,,,,,
ljh,tml,9c439152-3cc3-4833-991d-96d4237c86e6,1452,www.rabbitpre.com/m/JjMviur,中国人寿客户服务节10周年VIP客户答谢会暨养老社区项目发布,健康管理     养老养生,产品推广,行业展会,保险,保险,,,,,,
ljh,tml,82544d34-b708-48d0-afba-1f9826e9fafc,1455,www.rabbitpre.com/m/VfuY7zj,亿利来春季盛典邀请函,亿利来2016春季盛典邀请函,年会/庆典,行业展会,贸易批发,服装相关,,,,,,
ljh,tml,140f0200-8580-4758-8ecf-79263d155165,1456,www.rabbitpre.com/m/izFJvaU39,我寄送了第{{count}}封给浙大的家书。,浙大，我们不说再见！我感恩你给予我的，我践行你期望我的。,校园事务,个人其它,学校教育,学校教育,,,,,,
ljh,tml,1ec5f337-a146-40c4-bbb7-7aa10aff8a9e,1457,www.rabbitpre.com/m/nquqiyU,BIFU 2016 SS NEW ARRIVALS,,产品推广,产品推广,服装,服装相关,,,,,,
ljh,tml,9df6e172-6c2a-4ef8-8f4d-9c1e8a85b628,1458,www.rabbitpre.com/m/JnEvIjr,荷慕，美白篇,以爱之名，和和睦睦。,产品推广,产品推广,护肤,面部护理,,,,,,
ljh,tml,72dcf48c-168b-45c3-ac60-313781805028,1461,www.rabbitpre.com/m/VBeqqqyFk, 疯狂科学  快乐寒假,清华少年科学家邀请您一起畅享寒假 亲近科学,产品推广,校园事务,特长或素质培训,学校教育,,,,,,
ljh,tml,c3ebeb9d-7823-4b7f-a764-c7d70f938c21,1462,www.rabbitpre.com/m/mFJJnraM8,庭园餐厅、Nice清吧5月15日周日下午四点半盛大开业,只要转发此链接即可在开业当天到店免费喝160打百威、哈啤!,产品推广,开业,餐饮,餐饮,,,,,,
ljh,tml,25c98380-02f0-4262-af1e-cfe75cacc140,1463,www.rabbitpre.com/m/FVviArG,我的药学业务培训课邀请函,和我一起参加，还有机会抽大奖哦。,行业论坛,事务性通知/科普,医疗,医疗,,,,,,
ljh,tml,2cf77693-0029-4f3c-9438-17ddaf55b58f,1464,www.rabbitpre.com/m/MBFrmel,圣济堂商学院第一期培训现场报道（一）,圣者贤、济者善、堂者忠,公司会议,行业论坛,医药用品,商业经验技能培训,,,,,,
ljh,tml,3ef190dc-feb9-4705-b544-6e063339b640,1465,www.rabbitpre.com/m/bYvIne3,0元购，不能不来！,"中佳易购携手广德首届建材品牌0元购！不管您多忙,这次机会您不能错过！",产品推广,产品推广,家具,家装建材,家装建材,,,,,
ljh,tml,2c6af0af-1647-4910-9f0c-3757d1d0c982,1466,www.rabbitpre.com/m/jQV3quw,三月女神节 最美女播客,生活中的她们，又有怎样的一面？,团队展示/团建,产品推广,媒体,自媒体,,,,,,
ljh,tml,db216945-529f-443a-afd3-edab015bcc16,1467,www.rabbitpre.com/m/7bUryq5,热烈祝贺红寺堡200兆瓦项目顺利并网,,团队展示/团建,年会/庆典,基建,能源,,,,,,
ljh,tml,1ba7c70e-9212-46fe-a6dc-851a10b680a7,1470,www.rabbitpre.com/m/RbmiUnq,教师节 - 蒙古语祝福贺卡，送给您！,"送给所有的老师，我的老师,您好吗？",外文作品,节日祝福,无行业,无行业,,,,,,
ljh,tml,73283758-6bf1-4c51-a9d3-d3ff71d6eab8,1471,www.rabbitpre.com/m/n6j6buW,汕头东海一览（芃盛）教育--激发右脑潜能、提高学习能力,效果明显，欢迎体验,产品推广,产品推广,应试及考证培训,特长或素质培训,,,,,,
ljh,tml,0027cb70-d242-4123-96e6-a2361223d1e0,1472,www.rabbitpre.com/m/vyuyuau,壹加壹“八大金刚”全新上市,壹加壹“八大金刚”全新上市,产品推广,产品推广,家装建材,美容整形,,,,,,
ljh,tml,d01dd283-d7c9-44cb-9aae-5afb6b16d12e,1473,www.rabbitpre.com/m/77zaUzj,已有{{count}}人关注广益汽车2016年元旦盛大开业,1月4日前，只要转发本贴并集够58个赞，即免费送室内或机头精洗 ，期间进店还有礼品相关。,产品推广,开业,汽车服务,汽车配饰,汽车,,,,,
ljh,tml,f7194bae-e653-4064-b060-f52004a3f08b,1474,www.rabbitpre.com/m/e2MZbq0,丰矿人在南昌的家，你知道吗？,丰矿姐妹来东堃，愿东堃成为你”远方“的家。,校园事务,产品推广,学校教育,学校教育,,,,,,
ljh,tml,b087ed3d-5919-41de-a6a6-7ed3fd77aeaa,1477,www.rabbitpre.com/m/eEnInyX,趁年轻 要辉煌,合富辉煌营销革命新军大招募！,招聘,招聘,房地产,地产中介,,,,,,
ljh,tml,42ae5aad-3372-46f6-9d85-32036b4d31b8,1479,www.rabbitpre.com/m/mABR7vL,赋彩韵 | 美籍华裔画家张华教授个人作品展,美籍华裔画家张华教授个人作品展，极具个性化特色的意象绘画风格作品,博物/艺术展,行业展会,无行业,无行业,,,,,,
ljh,tml,dbdbd25b-e1f4-4654-b498-27bc426feb00,1480,www.rabbitpre.com/m/AjA3m2A,8月21日金沙时代广场约定你,（集赞有礼品送）卓品家装联盟8.21相约恩平金沙时代广场！,封禁,产品推广,无行业,家装建材,,,,,,
ljh,tml,b7b15886-8574-4837-a722-c30b5f5ef363,1482,www.rabbitpre.com/m/vaIjAfN,水木年华《一生有你》电影音乐宣讲会-昆明站,期待各位小伙伴的参与！,讲座,明星见面会,音乐,其它社会服务,,,,,,
ljh,tml,706bf6e9-c12e-43ca-9edd-148fa2c24e57,1483,www.rabbitpre.com/m/Yzimiem,大风车早教过渡班招生啦！你转我就送55度恒温保温杯！,大风车过渡班招生啦！,产品推广,产品推广,特长或素质培训,学校教育,,,,,,
ljh,tml,a81d5e92-6555-40a7-9caf-9b92e85c7a38,1484,www.rabbitpre.com/m/yyM7jix,中国食品餐饮博览会,一场美食之旅，一次商机之遇，中国食餐会就等您来！,行业展会,行业展会,餐饮,食品,餐饮,,,,,
ljh,tml,3e4b11e3-2f87-47c2-b8cc-5452d4272162,1485,www.rabbitpre.com/m/Uvqq63r,中铁一局城轨这一年,,团队展示/团建,政府事务,交通,交通,,,,,,
ljh,tml,7047795f-d1bc-434c-ab45-0a62b13f990e,1486,www.rabbitpre.com/m/QnMr6v8,丰城精品店开业庆典盛大举行,神帆金色年代丰城精品店超值开业大酬宾~,开业,产品推广,开业,保健按摩,保健按摩,,,,,
